domain,TLD,Len,Date
2019ncovid,com,10,3/18/2020
2020-covid,com,10,3/18/2020
2020covid-19pandemic,com,20,3/18/2020
2020covidlive,com,13,3/18/2020
2020covidsurvivor,com,17,3/18/2020
2bvividduringcovid,com,18,3/18/2020
411covid,com,8,3/18/2020
811covid,com,8,3/18/2020
accucovid19,com,11,3/18/2020
actagainstcovid19,com,17,3/18/2020
actionaginstcovid19,com,19,3/18/2020
adayinthelifeofcovid-19,com,23,3/18/2020
afectadoscovid19,com,16,3/18/2020
afectadoscovid-19,com,17,3/18/2020
aircovid,com,8,3/18/2020
aircovid19,com,10,3/18/2020
aircovid19save,com,14,3/18/2020
aircovid19virus,com,15,3/18/2020
aircovidvirus,com,13,3/18/2020
albertacovid,com,12,3/18/2020
anarcovid,com,9,3/18/2020
anarcovid19,com,11,3/18/2020
anticovid19squad,com,16,3/18/2020
approvedcovid19rapidtest,com,24,3/18/2020
artinthetimeofcovid,com,19,3/18/2020
arubacovid19,com,12,3/18/2020
athomewithcovid19,com,17,3/18/2020
attestation-covid19,com,19,3/18/2020
avoidingcovid,com,13,3/18/2020
bahamascovid,com,12,3/18/2020
bahamascovidresponse,com,20,3/18/2020
barcelonacovidfest,com,18,3/18/2020
barcelonacovidfestival,com,22,3/18/2020
battlecreekcovid-19,com,19,3/18/2020
battlingcancerintheageofcovid,com,29,3/18/2020
becausecovid19,com,14,3/18/2020
beirholm-covid19,com,16,3/18/2020
berkeleycovid19,com,15,3/18/2020
bilbaocovidfestival,com,19,3/18/2020
branchcovidians,com,15,3/18/2020
bravenewcovidworld,com,18,3/18/2020
brixworthcovid-19help,com,21,3/18/2020
businessaftercovid19,com,20,3/18/2020
businessrecordcovid19,com,21,3/18/2020
buycovid19medsuk,com,16,3/18/2020
buycovid19supplies,com,18,3/18/2020
californiacovid19law,com,20,3/18/2020
californiacovid19lawyer,com,23,3/18/2020
campaignagainstcovid,com,20,3/18/2020
cannabiscovidstudy,com,18,3/18/2020
carecovid,com,9,3/18/2020
ccemscovid19,com,12,3/18/2020
ccjo-covid19,com,12,3/18/2020
ceapprovedcovidrapidtest,com,24,3/18/2020
cenlacovid19,com,12,3/18/2020
cflcovid,com,8,3/18/2020
check4covid,com,11,3/18/2020
childcarecovid19plan,com,20,3/18/2020
childrenofcovidcation2020,com,25,3/18/2020
